year,month,venta_actual,venta_año_anterior,crecimiento_yoy_pct
2023,1,22903739213.0,,
2023,2,22380265840.0,,
2023,3,27673753704.0,,
2023,4,24574649682.0,,
2023,5,25674394954.0,,
2023,6,26005537999.0,,
2023,7,23896519888.0,,
2023,8,25275074013.0,,
2023,9,23485710379.0,,
2023,10,28594342703.0,,
2023,11,25973255521.0,,
2023,12,22645195461.0,,
2024,1,23490568345.0,22903739213.0,2.56
2024,2,22539833214.0,22380265840.0,0.71
2024,3,25111214879.0,27673753704.0,-9.26
2024,4,24871354679.0,24574649682.0,1.21
2024,5,24558606236.0,25674394954.0,-4.35
2024,6,23233740300.0,26005537999.0,-10.66
2024,7,24600617767.0,23896519888.0,2.95
2024,8,24981380593.0,25275074013.0,-1.16
2024,9,22648008031.0,23485710379.0,-3.57
2024,10,29370482456.0,28594342703.0,2.71
2024,11,27233229264.0,25973255521.0,4.85
2024,12,24323969472.0,22645195461.0,7.41
2025,1,24614299635.0,23490568345.0,4.78
2025,2,23105727221.0,22539833214.0,2.51
2025,3,27404790522.0,25111214879.0,9.13
2025,4,26233927646.0,24871354679.0,5.48
2025,5,26040641569.0,24558606236.0,6.03
2025,6,24046833037.0,23233740300.0,3.5
2025,7,26038312301.0,24600617767.0,5.84
2025,8,24250985032.0,24981380593.0,-2.92
2025,9,24501360895.0,22648008031.0,8.18
2025,10,28568867168.0,29370482456.0,-2.73
2025,11,25913869409.0,27233229264.0,-4.84
2025,12,25301334202.0,24323969472.0,4.02
2026,1,24538889856.0,24614299635.0,-0.31
2026,2,23614447267.0,23105727221.0,2.2
2026,3,28280921795.0,27404790522.0,3.2
2026,4,26406780499.0,26233927646.0,0.66
2026,5,3009490883.0,26040641569.0,-88.44
